pollutid;id;type;wkt;z;Q(g/s);H (m);T(ºK);U(m/s);D(m)
CO;C02;POINT;POINT (351259.06 6178428.25);8.00;1.45E+00;8.65;706.00;40.60;0.40
CO;C04;POINT;POINT (351267.24 6178426.79);8.00;1.68E+00;8.65;691.00;38.10;0.40
CO;C05;POINT;POINT (351271.28 6178426.00);8.00;1.61E+00;8.65;694.00;40.60;0.40
CO;C06;POINT;POINT (351275.28 6178424.92);8.00;1.43E+00;8.65;720.00;35.90;0.40
CO;C10;POINT;POINT(351287.4 6178419.0);8.00;7.52E-01;7.00;605.00;28.10;0.40
CO;C11;POINT;POINT(351289.0 6178423.0);8.00;8.25E-01;7.00;584.00;27.30;0.40
CO;C12;POINT;POINT(351290.0 6178433.0);8.00;8.06E-01;7.00;639.00;26.40;0.40
NOx;C02;POINT;POINT (351259.06 6178428.25);8.00;3.03E-01;8.65;706.00;40.60;0.40
NOx;C04;POINT;POINT (351267.24 6178426.79);8.00;5.46E-01;8.65;691.00;38.10;0.40
NOx;C05;POINT;POINT (351271.28 6178426.00);8.00;2.10E-01;8.65;694.00;40.60;0.40
NOx;C06;POINT;POINT (351275.28 6178424.92);8.00;3.08E-01;8.65;720.00;35.90;0.40
NOx;C10;POINT;POINT(351287.4 6178419.0);8.00;7.97E-01;7.00;605.00;28.10;0.40
NOx;C11;POINT;POINT(351289.0 6178423.0);8.00;7.39E-01;7.00;584.00;27.30;0.40
NOx;C12;POINT;POINT(351290.0 6178433.0);8.00;6.13E-01;7.00;639.00;26.40;0.40
SO2;C02;POINT;POINT (351259.06 6178428.25);8.00;5.62E-03;8.65;706.00;40.60;0.40
SO2;C04;POINT;POINT (351267.24 6178426.79);8.00;5.39E-03;8.65;691.00;38.10;0.40
SO2;C05;POINT;POINT (351271.28 6178426.00);8.00;5.72E-03;8.65;694.00;40.60;0.40
SO2;C06;POINT;POINT (351275.28 6178424.92);8.00;4.87E-03;8.65;720.00;35.90;0.40
SO2;C10;POINT;POINT(351287.4 6178419.0);8.00;4.54E-03;7.00;605.00;28.10;0.40
SO2;C11;POINT;POINT(351289.0 6178423.0);8.00;4.57E-03;7.00;584.00;27.30;0.40
SO2;C12;POINT;POINT(351290.0 6178433.0);8.00;4.04E-03;7.00;639.00;26.40;0.40
PM10;C02;POINT;POINT (351259.06 6178428.25);8.00;1.97E-04;8.65;706.00;40.60;0.40
PM10;C04;POINT;POINT (351267.24 6178426.79);8.00;1.89E-04;8.65;691.00;38.10;0.40
PM10;C05;POINT;POINT (351271.28 6178426.00);8.00;2.01E-04;8.65;694.00;40.60;0.40
PM10;C06;POINT;POINT (351275.28 6178424.92);8.00;1.71E-04;8.65;720.00;35.90;0.40
PM10;C10;POINT;POINT(351287.4 6178419.0);8.00;1.59E-04;7.00;605.00;28.10;0.40
PM10;C11;POINT;POINT(351289.0 6178423.0);8.00;1.60E-04;7.00;584.00;27.30;0.40
PM10;C12;POINT;POINT(351290.0 6178433.0);8.00;1.42E-04;7.00;639.00;26.40;0.40
PM25;C02;POINT;POINT (351259.06 6178428.25);8.00;1.97E-05;8.65;706.00;40.60;0.40
PM25;C04;POINT;POINT (351267.24 6178426.79);8.00;1.13E-04;8.65;691.00;38.10;0.40
PM25;C05;POINT;POINT (351271.28 6178426.00);8.00;2.01E-05;8.65;694.00;40.60;0.40
PM25;C06;POINT;POINT (351275.28 6178424.92);8.00;1.71E-05;8.65;720.00;35.90;0.40
PM25;C10;POINT;POINT(351287.4 6178419.0);8.00;1.59E-05;7.00;605.00;28.10;0.40
PM25;C11;POINT;POINT(351289.0 6178423.0);8.00;1.60E-05;7.00;584.00;27.30;0.40
PM25;C12;POINT;POINT(351290.0 6178433.0);8.00;7.08E-05;7.00;639.00;26.40;0.40
