wkt;id;name
"POINT (349379.375 6178166.500)";1;REGULAR
"POINT (349429.375 6177766.500)";1;REGULAR
"POINT (349429.375 6177816.500)";1;REGULAR
"POINT (349429.375 6177866.500)";1;REGULAR
"POINT (349429.375 6177916.500)";1;REGULAR
"POINT (349429.375 6177966.500)";1;REGULAR
"POINT (349429.375 6178016.500)";1;REGULAR
"POINT (349429.375 6178066.500)";1;REGULAR
"POINT (349429.375 6178116.500)";1;REGULAR
"POINT (349429.375 6178166.500)";1;REGULAR
"POINT (349429.375 6178216.500)";1;REGULAR
"POINT (349429.375 6178266.500)";1;REGULAR
"POINT (349429.375 6178316.500)";1;REGULAR
"POINT (349429.375 6178366.500)";1;REGULAR
"POINT (349429.375 6178416.500)";1;REGULAR
"POINT (349429.375 6178466.500)";1;REGULAR
"POINT (349429.375 6178516.500)";1;REGULAR
"POINT (349429.375 6178566.500)";1;REGULAR
"POINT (349479.375 6177566.500)";1;REGULAR
"POINT (349479.375 6177616.500)";1;REGULAR
"POINT (349479.375 6177666.500)";1;REGULAR
"POINT (349479.375 6177716.500)";1;REGULAR
"POINT (349479.375 6177766.500)";1;REGULAR
"POINT (349479.375 6177816.500)";1;REGULAR
"POINT (349479.375 6177866.500)";1;REGULAR
"POINT (349479.375 6177916.500)";1;REGULAR
"POINT (349479.375 6177966.500)";1;REGULAR
"POINT (349479.375 6178016.500)";1;REGULAR
"POINT (349479.375 6178066.500)";1;REGULAR
"POINT (349479.375 6178116.500)";1;REGULAR
"POINT (349479.375 6178166.500)";1;REGULAR
"POINT (349479.375 6178216.500)";1;REGULAR
"POINT (349479.375 6178266.500)";1;REGULAR
"POINT (349479.375 6178316.500)";1;REGULAR
"POINT (349479.375 6178366.500)";1;REGULAR
"POINT (349479.375 6178416.500)";1;REGULAR
"POINT (349479.375 6178466.500)";1;REGULAR
"POINT (349479.375 6178516.500)";1;REGULAR
"POINT (349479.375 6178566.500)";1;REGULAR
"POINT (349479.375 6178616.500)";1;REGULAR
"POINT (349479.375 6178666.500)";1;REGULAR
"POINT (349479.375 6178716.500)";1;REGULAR
"POINT (349479.375 6178766.500)";1;REGULAR
"POINT (349529.375 6177416.500)";1;REGULAR
"POINT (349529.375 6177466.500)";1;REGULAR
"POINT (349529.375 6177516.500)";1;REGULAR
"POINT (349529.375 6177566.500)";1;REGULAR
"POINT (349529.375 6177616.500)";1;REGULAR
"POINT (349529.375 6177666.500)";1;REGULAR
"POINT (349529.375 6177716.500)";1;REGULAR
"POINT (349529.375 6177766.500)";1;REGULAR
"POINT (349529.375 6177816.500)";1;REGULAR
"POINT (349529.375 6177866.500)";1;REGULAR
"POINT (349529.375 6177916.500)";1;REGULAR
"POINT (349529.375 6177966.500)";1;REGULAR
"POINT (349529.375 6178016.500)";1;REGULAR
"POINT (349529.375 6178066.500)";1;REGULAR
"POINT (349529.375 6178116.500)";1;REGULAR
"POINT (349529.375 6178166.500)";1;REGULAR
"POINT (349529.375 6178216.500)";1;REGULAR
"POINT (349529.375 6178266.500)";1;REGULAR
"POINT (349529.375 6178316.500)";1;REGULAR
"POINT (349529.375 6178366.500)";1;REGULAR
"POINT (349529.375 6178416.500)";1;REGULAR
"POINT (349529.375 6178466.500)";1;REGULAR
"POINT (349529.375 6178516.500)";1;REGULAR
"POINT (349529.375 6178566.500)";1;REGULAR
"POINT (349529.375 6178616.500)";1;REGULAR
"POINT (349529.375 6178666.500)";1;REGULAR
"POINT (349529.375 6178716.500)";1;REGULAR
"POINT (349529.375 6178766.500)";1;REGULAR
"POINT (349529.375 6178816.500)";1;REGULAR
"POINT (349529.375 6178866.500)";1;REGULAR
"POINT (349529.375 6178916.500)";1;REGULAR
"POINT (349579.375 6177316.500)";1;REGULAR
"POINT (349579.375 6177366.500)";1;REGULAR
"POINT (349579.375 6177416.500)";1;REGULAR
"POINT (349579.375 6177466.500)";1;REGULAR
"POINT (349579.375 6177516.500)";1;REGULAR
"POINT (349579.375 6177566.500)";1;REGULAR
"POINT (349579.375 6177616.500)";1;REGULAR
"POINT (349579.375 6177666.500)";1;REGULAR
"POINT (349579.375 6177716.500)";1;REGULAR
"POINT (349579.375 6177766.500)";1;REGULAR
"POINT (349579.375 6177816.500)";1;REGULAR
"POINT (349579.375 6177866.500)";1;REGULAR
"POINT (349579.375 6177916.500)";1;REGULAR
"POINT (349579.375 6177966.500)";1;REGULAR
"POINT (349579.375 6178016.500)";1;REGULAR
"POINT (349579.375 6178066.500)";1;REGULAR
"POINT (349579.375 6178116.500)";1;REGULAR
"POINT (349579.375 6178166.500)";1;REGULAR
"POINT (349579.375 6178216.500)";1;REGULAR
"POINT (349579.375 6178266.500)";1;REGULAR
"POINT (349579.375 6178316.500)";1;REGULAR
"POINT (349579.375 6178366.500)";1;REGULAR
"POINT (349579.375 6178416.500)";1;REGULAR
"POINT (349579.375 6178466.500)";1;REGULAR
"POINT (349579.375 6178516.500)";1;REGULAR
"POINT (349579.375 6178566.500)";1;REGULAR
"POINT (349579.375 6178616.500)";1;REGULAR
"POINT (349579.375 6178666.500)";1;REGULAR
"POINT (349579.375 6178716.500)";1;REGULAR
"POINT (349579.375 6178766.500)";1;REGULAR
"POINT (349579.375 6178816.500)";1;REGULAR
"POINT (349579.375 6178866.500)";1;REGULAR
"POINT (349579.375 6178916.500)";1;REGULAR
"POINT (349579.375 6178966.500)";1;REGULAR
"POINT (349579.375 6179016.500)";1;REGULAR
"POINT (349629.375 6177216.500)";1;REGULAR
"POINT (349629.375 6177266.500)";1;REGULAR
"POINT (349629.375 6177316.500)";1;REGULAR
"POINT (349629.375 6177366.500)";1;REGULAR
"POINT (349629.375 6177416.500)";1;REGULAR
"POINT (349629.375 6177466.500)";1;REGULAR
"POINT (349629.375 6177516.500)";1;REGULAR
"POINT (349629.375 6177566.500)";1;REGULAR
"POINT (349629.375 6177616.500)";1;REGULAR
"POINT (349629.375 6177666.500)";1;REGULAR
"POINT (349629.375 6177716.500)";1;REGULAR
"POINT (349629.375 6177766.500)";1;REGULAR
"POINT (349629.375 6177816.500)";1;REGULAR
"POINT (349629.375 6177866.500)";1;REGULAR
"POINT (349629.375 6177916.500)";1;REGULAR
"POINT (349629.375 6177966.500)";1;REGULAR
"POINT (349629.375 6178016.500)";1;REGULAR
"POINT (349629.375 6178066.500)";1;REGULAR
"POINT (349629.375 6178116.500)";1;REGULAR
"POINT (349629.375 6178166.500)";1;REGULAR
