wkt;id;name
"POINT (351330.875 6175518.500)";1;REGULAR
"POINT (351330.875 6175543.500)";1;REGULAR
"POINT (351330.875 6175568.500)";1;REGULAR
"POINT (351330.875 6175593.500)";1;REGULAR
"POINT (351330.875 6175618.500)";1;REGULAR
"POINT (351330.875 6175643.500)";1;REGULAR
"POINT (351330.875 6175668.500)";1;REGULAR
"POINT (351330.875 6175693.500)";1;REGULAR
"POINT (351330.875 6175718.500)";1;REGULAR
"POINT (351330.875 6175743.500)";1;REGULAR
"POINT (351330.875 6175768.500)";1;REGULAR
"POINT (351330.875 6175793.500)";1;REGULAR
"POINT (351330.875 6175818.500)";1;REGULAR
"POINT (351355.875 6175468.500)";1;REGULAR
"POINT (351355.875 6175493.500)";1;REGULAR
"POINT (351355.875 6175518.500)";1;REGULAR
"POINT (351355.875 6175543.500)";1;REGULAR
"POINT (351355.875 6175568.500)";1;REGULAR
"POINT (351355.875 6175593.500)";1;REGULAR
"POINT (351355.875 6175618.500)";1;REGULAR
"POINT (351355.875 6175643.500)";1;REGULAR
"POINT (351355.875 6175668.500)";1;REGULAR
"POINT (351355.875 6175693.500)";1;REGULAR
"POINT (351355.875 6175718.500)";1;REGULAR
"POINT (351355.875 6175743.500)";1;REGULAR
"POINT (351355.875 6175768.500)";1;REGULAR
"POINT (351355.875 6175793.500)";1;REGULAR
"POINT (351355.875 6175818.500)";1;REGULAR
"POINT (351355.875 6175843.500)";1;REGULAR
"POINT (351355.875 6175868.500)";1;REGULAR
"POINT (351380.875 6175418.500)";1;REGULAR
"POINT (351380.875 6175443.500)";1;REGULAR
"POINT (351380.875 6175468.500)";1;REGULAR
"POINT (351380.875 6175493.500)";1;REGULAR
"POINT (351380.875 6175518.500)";1;REGULAR
"POINT (351380.875 6175543.500)";1;REGULAR
"POINT (351380.875 6175568.500)";1;REGULAR
"POINT (351380.875 6175593.500)";1;REGULAR
"POINT (351380.875 6175618.500)";1;REGULAR
"POINT (351380.875 6175643.500)";1;REGULAR
"POINT (351380.875 6175668.500)";1;REGULAR
"POINT (351380.875 6175693.500)";1;REGULAR
"POINT (351380.875 6175718.500)";1;REGULAR
"POINT (351380.875 6175743.500)";1;REGULAR
"POINT (351380.875 6175768.500)";1;REGULAR
"POINT (351380.875 6175793.500)";1;REGULAR
"POINT (351380.875 6175818.500)";1;REGULAR
"POINT (351380.875 6175843.500)";1;REGULAR
"POINT (351380.875 6175868.500)";1;REGULAR
"POINT (351380.875 6175893.500)";1;REGULAR
"POINT (351380.875 6175918.500)";1;REGULAR
"POINT (351405.875 6175393.500)";1;REGULAR
"POINT (351405.875 6175418.500)";1;REGULAR
"POINT (351405.875 6175443.500)";1;REGULAR
"POINT (351405.875 6175468.500)";1;REGULAR
"POINT (351405.875 6175493.500)";1;REGULAR
"POINT (351405.875 6175518.500)";1;REGULAR
"POINT (351405.875 6175543.500)";1;REGULAR
"POINT (351405.875 6175568.500)";1;REGULAR
"POINT (351405.875 6175593.500)";1;REGULAR
"POINT (351405.875 6175618.500)";1;REGULAR
"POINT (351405.875 6175643.500)";1;REGULAR
"POINT (351405.875 6175668.500)";1;REGULAR
"POINT (351405.875 6175693.500)";1;REGULAR
"POINT (351405.875 6175718.500)";1;REGULAR
"POINT (351405.875 6175743.500)";1;REGULAR
"POINT (351405.875 6175768.500)";1;REGULAR
"POINT (351405.875 6175793.500)";1;REGULAR
"POINT (351405.875 6175818.500)";1;REGULAR
"POINT (351405.875 6175843.500)";1;REGULAR
"POINT (351405.875 6175868.500)";1;REGULAR
"POINT (351405.875 6175893.500)";1;REGULAR
"POINT (351405.875 6175918.500)";1;REGULAR
"POINT (351405.875 6175943.500)";1;REGULAR
"POINT (351430.875 6175343.500)";1;REGULAR
"POINT (351430.875 6175368.500)";1;REGULAR
"POINT (351430.875 6175393.500)";1;REGULAR
"POINT (351430.875 6175418.500)";1;REGULAR
"POINT (351430.875 6175443.500)";1;REGULAR
"POINT (351430.875 6175468.500)";1;REGULAR
"POINT (351430.875 6175493.500)";1;REGULAR
"POINT (351430.875 6175518.500)";1;REGULAR
"POINT (351430.875 6175543.500)";1;REGULAR
"POINT (351430.875 6175568.500)";1;REGULAR
"POINT (351430.875 6175593.500)";1;REGULAR
"POINT (351430.875 6175618.500)";1;REGULAR
"POINT (351430.875 6175643.500)";1;REGULAR
"POINT (351430.875 6175668.500)";1;REGULAR
"POINT (351430.875 6175693.500)";1;REGULAR
"POINT (351430.875 6175718.500)";1;REGULAR
"POINT (351430.875 6175743.500)";1;REGULAR
"POINT (351430.875 6175768.500)";1;REGULAR
"POINT (351430.875 6175793.500)";1;REGULAR
"POINT (351430.875 6175818.500)";1;REGULAR
"POINT (351430.875 6175843.500)";1;REGULAR
"POINT (351430.875 6175868.500)";1;REGULAR
"POINT (351430.875 6175893.500)";1;REGULAR
"POINT (351430.875 6175918.500)";1;REGULAR
"POINT (351430.875 6175943.500)";1;REGULAR
"POINT (351430.875 6175968.500)";1;REGULAR
"POINT (351430.875 6175993.500)";1;REGULAR
"POINT (351455.875 6175318.500)";1;REGULAR
"POINT (351455.875 6175343.500)";1;REGULAR
"POINT (351455.875 6175368.500)";1;REGULAR
"POINT (351455.875 6175393.500)";1;REGULAR
"POINT (351455.875 6175418.500)";1;REGULAR
"POINT (351455.875 6175443.500)";1;REGULAR
"POINT (351455.875 6175468.500)";1;REGULAR
"POINT (351455.875 6175493.500)";1;REGULAR
"POINT (351455.875 6175518.500)";1;REGULAR
"POINT (351455.875 6175543.500)";1;REGULAR
"POINT (351455.875 6175568.500)";1;REGULAR
"POINT (351455.875 6175593.500)";1;REGULAR
"POINT (351455.875 6175618.500)";1;REGULAR
"POINT (351455.875 6175643.500)";1;REGULAR
"POINT (351455.875 6175668.500)";1;REGULAR
"POINT (351455.875 6175693.500)";1;REGULAR
"POINT (351455.875 6175718.500)";1;REGULAR
"POINT (351455.875 6175743.500)";1;REGULAR
"POINT (351455.875 6175768.500)";1;REGULAR
"POINT (351455.875 6175793.500)";1;REGULAR
"POINT (351455.875 6175818.500)";1;REGULAR
"POINT (351455.875 6175843.500)";1;REGULAR
"POINT (351455.875 6175868.500)";1;REGULAR
"POINT (351455.875 6175893.500)";1;REGULAR
"POINT (351455.875 6175918.500)";1;REGULAR
"POINT (351455.875 6175943.500)";1;REGULAR
"POINT (351455.875 6175968.500)";1;REGULAR
"POINT (351455.875 6175993.500)";1;REGULAR
"POINT (351455.875 6176018.500)";1;REGULAR
"POINT (351480.875 6175293.500)";1;REGULAR
"POINT (351480.875 6175318.500)";1;REGULAR
"POINT (351480.875 6175343.500)";1;REGULAR
"POINT (351480.875 6175368.500)";1;REGULAR
"POINT (351480.875 6175393.500)";1;REGULAR
"POINT (351480.875 6175418.500)";1;REGULAR
"POINT (351480.875 6175443.500)";1;REGULAR
"POINT (351480.875 6175468.500)";1;REGULAR
"POINT (351480.875 6175493.500)";1;REGULAR
"POINT (351480.875 6175518.500)";1;REGULAR
"POINT (351480.875 6175543.500)";1;REGULAR
"POINT (351480.875 6175568.500)";1;REGULAR
"POINT (351480.875 6175593.500)";1;REGULAR
